# min_accuracy, precision, recall, f-measure
0.0,0.431,0.6831,0.5285
0.1,0.6316,0.5246,0.5731
0.2,0.7281,0.4536,0.5589
0.3,0.7391,0.3716,0.4945
0.4,0.7662,0.3224,0.4538
0.5,0.8082,0.3224,0.4609
0.6,0.8209,0.3005,0.44
0.7,0.8596,0.2678,0.4083
0.8,0.8333,0.1913,0.3111
0.9,0.8276,0.1311,0.2264
