Concept Precis. Recall F-Meas. #TP #Pos #Rel
0 0.107 0.117 0.112 70 656 596
13 0.707 0.055 0.103 53 75 958
21 0.434 0.271 0.334 214 493 789
24 0.578 0.040 0.075 37 64 922
64 0.474 0.401 0.434 315 665 785
75 0.680 0.269 0.385 308 453 1146
Concept Precis. Recall F-Meas. #TP #Pos #Rel
0 0.118 0.122 0.120 73 617 596
13 0.626 0.086 0.151 82 131 958
21 0.396 0.271 0.322 214 541 789
24 0.543 0.048 0.088 44 81 922
64 0.493 0.358 0.415 281 570 785
75 0.725 0.236 0.357 271 374 1146
