Concept Precis. Recall F-Meas. #TP #Pos #Rel
0 0.244 0.072 0.111 43 176 596
13 0.715 0.149 0.247 143 200 958
21 0.398 0.532 0.456 420 1054 789
24 1.000 0.021 0.040 19 19 922
64 0.179 0.615 0.277 483 2701 785
75 0.831 0.112 0.197 128 154 1146
Concept Precis. Recall F-Meas. #TP #Pos #Rel
0 0.185 0.128 0.151 76 411 596
13 0.601 0.211 0.312 202 336 958
21 0.415 0.459 0.436 362 873 789
24 0.636 0.084 0.148 77 121 922
64 0.499 0.336 0.402 264 529 785
75 0.626 0.333 0.435 382 610 1146
