Concept Precis. Recall F-Meas. #TP #Pos #Rel
0 0.158 0.190 0.173 113 713 596
13 0.621 0.267 0.374 256 412 958
21 0.673 0.293 0.408 231 343 789
24 0.352 0.069 0.116 64 182 922
64 0.584 0.159 0.250 125 214 785
75 0.625 0.302 0.407 346 554 1146
Concept Precis. Recall F-Meas. #TP #Pos #Rel
0 0.158 0.190 0.173 113 713 596
13 0.621 0.267 0.374 256 412 958
21 0.673 0.293 0.408 231 343 789
24 0.352 0.069 0.116 64 182 922
64 0.584 0.159 0.250 125 214 785
75 0.625 0.302 0.407 346 554 1146
