Concept Precis. Recall F-Meas. #TP #Pos #Rel
0 0.109 0.096 0.102 57 525 596
13 0.592 0.030 0.058 29 49 958
21 0.254 0.314 0.281 248 975 789
24 0.818 0.010 0.019 9 11 922
64 0.528 0.264 0.352 207 392 785
75 0.830 0.111 0.196 127 153 1146
Concept Precis. Recall F-Meas. #TP #Pos #Rel
0 0.083 0.138 0.103 82 993 596
13 0.416 0.103 0.166 99 238 958
21 0.352 0.276 0.310 218 619 789
24 0.470 0.034 0.063 31 66 922
64 0.523 0.349 0.419 274 524 785
75 0.734 0.193 0.305 221 301 1146
