Concept Precis. Recall F-Meas. #TP #Pos #Rel
0 0.184 0.203 0.193 121 658 596
13 0.640 0.320 0.427 307 480 958
21 0.768 0.290 0.421 229 298 789
24 0.407 0.060 0.104 55 135 922
64 0.693 0.176 0.280 138 199 785
75 0.547 0.367 0.439 421 770 1146
Concept Precis. Recall F-Meas. #TP #Pos #Rel
0 0.184 0.203 0.193 121 658 596
13 0.640 0.320 0.427 307 480 958
21 0.768 0.290 0.421 229 298 789
24 0.407 0.060 0.104 55 135 922
64 0.693 0.176 0.280 138 199 785
75 0.547 0.367 0.439 421 770 1146
