Concept Precis. Recall F-Meas. #TP #Pos #Rel
0 0.124 0.143 0.133 85 687 596
13 0.720 0.123 0.210 118 164 958
21 0.687 0.203 0.313 160 233 789
24 0.386 0.035 0.064 32 83 922
64 0.711 0.041 0.077 32 45 785
75 0.648 0.300 0.410 344 531 1146
Concept Precis. Recall F-Meas. #TP #Pos #Rel
0 0.100 0.203 0.134 121 1208 596
13 0.589 0.242 0.343 232 394 958
21 0.629 0.241 0.348 190 302 789
24 0.345 0.065 0.109 60 174 922
64 0.520 0.098 0.165 77 148 785
75 0.604 0.311 0.410 356 589 1146
