Concept_Feature Precis. Recall F-Meas. #TP #Pos #Rel
alexnet_p_ww_fc6_linear 0.2013 0.101 0.1342 60 298 596
alexnet_p_ww_fc7_linear 0.2590 0.121 0.1648 72 278 596
alexnet_p_c 0.1215 0.111 0.1159 66 543 596
alexnet_p_c_fc6 0.0807 0.163 0.1079 97 1202 596
alexnet_p_c_fc7 0.1103 0.121 0.1153 72 653 596
alexnet_p_c_fc6_linear 0.1086 0.096 0.1017 57 525 596
alexnet_p_c_fc7_linear 0.1067 0.117 0.1118 70 656 596
alexnet_p_c_ww 0.1779 0.138 0.1552 82 461 596
alexnet_p_c_ww_fc6 0.0891 0.238 0.1297 142 1593 596
alexnet_p_c_ww_fc7 0.1585 0.190 0.1727 113 713 596
alexnet_p_c_ww_fc6_linear 0.1237 0.143 0.1325 85 687 596
alexnet_p_c_ww_fc7_linear 0.1805 0.081 0.1114 48 266 596
alexnet_p 0.207 0.131 0.160 78 377 596
alexnet_p_fc6 0.209 0.119 0.152 71 340 596
alexnet_p_fc7 0.174 0.154 0.164 92 528 596
alexnet_p_fc6_linear 0.244 0.072 0.111 43 176 596
alexnet_p_fc7_linear 0.120 0.163 0.138 97 807 596
alexnet_p_ww 0.237 0.136 0.173 81 342 596
alexnet_p_ww_fc6 0.184 0.203 0.193 121 658 596
alexnet_p_ww_fc7 0.205 0.181 0.192 108 527 596
alexnet_p_ww_fc6_linear 0.201 0.101 0.134 60 298 596
alexnet_p_ww_fc7_linear 0.259 0.121 0.165 72 278 596
alexnet_p_c 0.122 0.111 0.116 66 543 596
alexnet_p_c_fc6 0.081 0.163 0.108 97 1202 596
alexnet_p_c_fc7 0.110 0.121 0.115 72 653 596
alexnet_p_c_fc6_linear 0.109 0.096 0.102 57 525 596
alexnet_p_c_fc7_linear 0.107 0.117 0.112 70 656 596
alexnet_p_c_ww 0.178 0.138 0.155 82 461 596
alexnet_p_c_ww_fc6 0.089 0.238 0.130 142 1593 596
alexnet_p_c_ww_fc7 0.158 0.190 0.173 113 713 596
alexnet_p_c_ww_fc6_linear 0.124 0.143 0.133 85 687 596
alexnet_p_c_ww_fc7_linear 0.180 0.081 0.111 48 266 596
alexnet_p 0.207 0.131 0.160 78 377 596
alexnet_p_fc6 0.209 0.119 0.152 71 340 596
alexnet_p_fc7 0.174 0.154 0.164 92 528 596
alexnet_p_fc6_linear 0.244 0.072 0.111 43 176 596
alexnet_p_fc7_linear 0.120 0.163 0.138 97 807 596
alexnet_p_ww 0.237 0.136 0.173 81 342 596
alexnet_p_ww_fc6 0.184 0.203 0.193 121 658 596
alexnet_p_ww_fc7 0.205 0.181 0.192 108 527 596
alexnet_p_ww_fc6_linear 0.201 0.101 0.134 60 298 596
alexnet_p_ww_fc7_linear 0.259 0.121 0.165 72 278 596
alexnet_p_c 0.122 0.111 0.116 66 543 596
alexnet_p_c_fc6 0.081 0.163 0.108 97 1202 596
alexnet_p_c_fc7 0.110 0.121 0.115 72 653 596
alexnet_p_c_fc6_linear 0.109 0.096 0.102 57 525 596
alexnet_p_c_fc7_linear 0.107 0.117 0.112 70 656 596
alexnet_p_c_ww 0.178 0.138 0.155 82 461 596
alexnet_p_c_ww_fc6 0.089 0.238 0.130 142 1593 596
alexnet_p_c_ww_fc7 0.158 0.190 0.173 113 713 596
alexnet_p_c_ww_fc6_linear 0.124 0.143 0.133 85 687 596
alexnet_p_c_ww_fc7_linear 0.180 0.081 0.111 48 266 596
alexnet_p 0.207 0.131 0.160 78 377 596
alexnet_p_fc6 0.209 0.119 0.152 71 340 596
alexnet_p_fc7 0.174 0.154 0.164 92 528 596
alexnet_p_fc6_linear 0.244 0.072 0.111 43 176 596
alexnet_p_fc7_linear 0.120 0.163 0.138 97 807 596
alexnet_p_ww 0.237 0.136 0.173 81 342 596
alexnet_p_ww_fc6 0.184 0.203 0.193 121 658 596
alexnet_p_ww_fc7 0.205 0.181 0.192 108 527 596
alexnet_p_ww_fc6_linear 0.201 0.101 0.134 60 298 596
alexnet_p_ww_fc7_linear 0.259 0.121 0.165 72 278 596
alexnet_p_c 0.122 0.111 0.116 66 543 596
alexnet_p_c_fc6 0.081 0.163 0.108 97 1202 596
alexnet_p_c_fc7 0.110 0.121 0.115 72 653 596
alexnet_p_c_fc6_linear 0.109 0.096 0.102 57 525 596
alexnet_p_c_fc7_linear 0.107 0.117 0.112 70 656 596
alexnet_p_c_ww 0.178 0.138 0.155 82 461 596
alexnet_p_c_ww_fc6 0.089 0.238 0.130 142 1593 596
alexnet_p_c_ww_fc7 0.158 0.190 0.173 113 713 596
alexnet_p_c_ww_fc6_linear 0.124 0.143 0.133 85 687 596
alexnet_p_c_ww_fc7_linear 0.180 0.081 0.111 48 266 596
alexnet_p 0.207 0.131 0.160 78 377 596
alexnet_p_fc6 0.209 0.119 0.152 71 340 596
alexnet_p_fc7 0.174 0.154 0.164 92 528 596
alexnet_p_fc6_linear 0.244 0.072 0.111 43 176 596
alexnet_p_fc7_linear 0.120 0.163 0.138 97 807 596
alexnet_p_ww 0.237 0.136 0.173 81 342 596
alexnet_p_ww_fc6 0.184 0.203 0.193 121 658 596
alexnet_p_ww_fc7 0.205 0.181 0.192 108 527 596
alexnet_p_ww_fc6_linear 0.201 0.101 0.134 60 298 596
alexnet_p_ww_fc7_linear 0.259 0.121 0.165 72 278 596
alexnet_p_c 0.122 0.111 0.116 66 543 596
alexnet_p_c_fc6 0.081 0.163 0.108 97 1202 596
alexnet_p_c_fc7 0.110 0.121 0.115 72 653 596
alexnet_p_c_fc6_linear 0.109 0.096 0.102 57 525 596
alexnet_p_c_fc7_linear 0.107 0.117 0.112 70 656 596
alexnet_p_c_ww 0.178 0.138 0.155 82 461 596
alexnet_p_c_ww_fc6 0.089 0.238 0.130 142 1593 596
alexnet_p_c_ww_fc7 0.158 0.190 0.173 113 713 596
alexnet_p_c_ww_fc6_linear 0.124 0.143 0.133 85 687 596
alexnet_p_c_ww_fc7_linear 0.180 0.081 0.111 48 266 596
alexnet_p 0.207 0.131 0.160 78 377 596
alexnet_p_fc6 0.209 0.119 0.152 71 340 596
alexnet_p_fc7 0.174 0.154 0.164 92 528 596
alexnet_p_fc6_linear 0.185 0.128 0.151 76 411 596
alexnet_p_fc7_linear 0.203 0.171 0.186 102 502 596
alexnet_p_ww 0.237 0.136 0.173 81 342 596
alexnet_p_ww_fc6 0.184 0.203 0.193 121 658 596
alexnet_p_ww_fc7 0.205 0.181 0.192 108 527 596
alexnet_p_ww_fc6_linear 0.152 0.173 0.162 103 677 596
alexnet_p_ww_fc7_linear 0.200 0.181 0.190 108 541 596
alexnet_p_c 0.122 0.111 0.116 66 543 596
alexnet_p_c_fc6 0.081 0.163 0.108 97 1202 596
alexnet_p_c_fc7 0.110 0.121 0.115 72 653 596
alexnet_p_c_fc6_linear 0.083 0.138 0.103 82 993 596
alexnet_p_c_fc7_linear 0.118 0.122 0.120 73 617 596
alexnet_p_c_ww 0.178 0.138 0.155 82 461 596
alexnet_p_c_ww_fc6 0.089 0.238 0.130 142 1593 596
alexnet_p_c_ww_fc7 0.158 0.190 0.173 113 713 596
alexnet_p_c_ww_fc6_linear 0.100 0.203 0.134 121 1208 596
alexnet_p_c_ww_fc7_linear 0.164 0.203 0.181 121 738 596
alexnet_p_fc6 0.259 0.074 0.115 44 170 596
alexnet_p_fc7 0.202 0.101 0.134 60 297 596
alexnet_p_fc6_linear 0.197 0.099 0.132 59 300 596
alexnet_p_fc7_linear 0.226 0.168 0.192 100 443 596
