Concept_Feature Precis. Recall F-Meas. #TP #Pos #Rel
alexnet_p 0.2069 0.1309 0.1603 78 377 596
alexnet_p_fc6 0.2088 0.1191 0.1517 71 340 596
alexnet_p_fc7 0.1742 0.1544 0.1637 92 528 596
alexnet_p_ww 0.1215 0.1107 0.1159 66 543 596
alexnet_p_ww_fc6 0.0807 0.1628 0.1079 97 1202 596
alexnet_p_ww_fc7 0.1103 0.1208 0.1153 72 653 596
alexnet_p_c 0.2368 0.1359 0.1727 81 342 596
alexnet_p_c_fc6 0.1839 0.2030 0.1930 121 658 596
alexnet_p_c_fc7 0.2049 0.1812 0.1923 108 527 596
alexnet_p_c_ww 0.1779 0.1376 0.1552 82 461 596
alexnet_p_c_ww_fc6 0.0891 0.2383 0.1297 142 1593 596
alexnet_p_c_ww_fc7 0.1585 0.1896 0.1727 113 713 596
alexnet_p 0.2069 0.1309 0.1603 78 377 596
alexnet_p_fc6 0.2088 0.1191 0.1517 71 340 596
alexnet_p_fc7 0.1742 0.1544 0.1637 92 528 596
alexnet_p_ww 0.2368 0.1359 0.1727 81 342 596
alexnet_p_ww_fc6 0.1839 0.2030 0.1930 121 658 596
alexnet_p_ww_fc7 0.2049 0.1812 0.1923 108 527 596
alexnet_p_c 0.1215 0.1107 0.1159 66 543 596
alexnet_p_c_fc6 0.0807 0.1628 0.1079 97 1202 596
alexnet_p_c_fc7 0.1103 0.1208 0.1153 72 653 596
alexnet_p_c_ww 0.1779 0.1376 0.1552 82 461 596
alexnet_p_c_ww_fc6 0.0891 0.2383 0.1297 142 1593 596
alexnet_p_c_ww_fc7 0.1585 0.1896 0.1727 113 713 596
alexnet_p 0.2069 0.1309 0.1603 78 377 596
alexnet_p_fc6 0.2088 0.1191 0.1517 71 340 596
alexnet_p_fc7 0.1742 0.1544 0.1637 92 528 596
alexnet_p_fc6_linear 0.2443 0.0721 0.1114 43 176 596
alexnet_p_fc7_linear 0.1202 0.1628 0.1383 97 807 596
alexnet_p_ww 0.2368 0.1359 0.1727 81 342 596
alexnet_p_ww_fc6 0.1839 0.2030 0.1930 121 658 596
alexnet_p_ww_fc7 0.2049 0.1812 0.1923 108 527 596
alexnet_p_ww_fc6_linear 0.2013 0.1007 0.1342 60 298 596
alexnet_p_ww_fc7_linear 0.2590 0.1208 0.1648 72 278 596
alexnet_p_c 0.1215 0.1107 0.1159 66 543 596
alexnet_p_c_fc6 0.0807 0.1628 0.1079 97 1202 596
alexnet_p_c_fc7 0.1103 0.1208 0.1153 72 653 596
alexnet_p_c_fc6_linear 0.1086 0.0956 0.1017 57 525 596
alexnet_p_c_fc7_linear 0.1067 0.1174 0.1118 70 656 596
alexnet_p_c_ww 0.1779 0.1376 0.1552 82 461 596
alexnet_p_c_ww_fc6 0.0891 0.2383 0.1297 142 1593 596
alexnet_p_c_ww_fc7 0.1585 0.1896 0.1727 113 713 596
alexnet_p_c_ww_fc6_linear 0.1237 0.1426 0.1325 85 687 596
alexnet_p_c_ww_fc7_linear 0.1805 0.0805 0.1114 48 266 596
alexnet_p 0.2069 0.131 0.1603 78 377 596
alexnet_p_fc6 0.2088 0.119 0.1517 71 340 596
alexnet_p_fc7 0.1742 0.154 0.1637 92 528 596
alexnet_p_fc6_linear 0.2443 0.072 0.1114 43 176 596
alexnet_p_fc7_linear 0.1202 0.163 0.1383 97 807 596
alexnet_p_ww 0.2368 0.136 0.1727 81 342 596
alexnet_p_ww_fc6 0.1839 0.203 0.1930 121 658 596
alexnet_p_ww_fc7 0.2049 0.181 0.1923 108 527 596
