Concept_Feature Precis. Recall F-Meas. #TP #Pos #Rel
alexnet_p_c 0.5137 0.0981 0.1648 94 183 958
alexnet_p_c_fc6 0.4505 0.1044 0.1695 100 222 958
alexnet_p_c_fc7 0.5890 0.0898 0.1558 86 146 958
alexnet_p_c_fc6_linear 0.5918 0.0303 0.0576 29 49 958
alexnet_p_c_fc7_linear 0.7067 0.0553 0.1026 53 75 958
alexnet_p_c_ww 0.5685 0.2902 0.3842 278 489 958
alexnet_p_c_ww_fc6 0.6276 0.2516 0.3592 241 384 958
alexnet_p_c_ww_fc7 0.6214 0.2672 0.3737 256 412 958
alexnet_p_c_ww_fc6_linear 0.7195 0.1232 0.2103 118 164 958
alexnet_p_c_ww_fc7_linear 0.6634 0.2140 0.3236 205 309 958
alexnet_p 0.6575 0.200 0.3072 192 292 958
alexnet_p_fc6 0.6381 0.210 0.3158 201 315 958
alexnet_p_fc7 0.6771 0.204 0.3130 195 288 958
alexnet_p_fc6_linear 0.7150 0.149 0.2470 143 200 958
alexnet_p_fc7_linear 0.7588 0.158 0.2610 151 199 958
alexnet_p_ww 0.5782 0.305 0.3992 292 505 958
alexnet_p_ww_fc6 0.6396 0.320 0.4270 307 480 958
alexnet_p_ww_fc7 0.6017 0.293 0.3944 281 467 958
alexnet_p_ww_fc6_linear 0.7652 0.211 0.3306 202 264 958
alexnet_p_ww_fc7_linear 0.6331 0.256 0.3643 245 387 958
alexnet_p_c 0.5137 0.098 0.1648 94 183 958
alexnet_p_c_fc6 0.4505 0.104 0.1695 100 222 958
alexnet_p_c_fc7 0.5890 0.090 0.1558 86 146 958
alexnet_p_c_fc6_linear 0.5918 0.030 0.0576 29 49 958
alexnet_p_c_fc7_linear 0.7067 0.055 0.1026 53 75 958
alexnet_p_c_ww 0.5685 0.290 0.3842 278 489 958
alexnet_p_c_ww_fc6 0.6276 0.252 0.3592 241 384 958
alexnet_p_c_ww_fc7 0.6214 0.267 0.3737 256 412 958
alexnet_p_c_ww_fc6_linear 0.7195 0.123 0.2103 118 164 958
alexnet_p_c_ww_fc7_linear 0.6634 0.214 0.3236 205 309 958
alexnet_p 0.658 0.200 0.307 192 292 958
alexnet_p_fc6 0.638 0.210 0.316 201 315 958
alexnet_p_fc7 0.677 0.204 0.313 195 288 958
alexnet_p_fc6_linear 0.715 0.149 0.247 143 200 958
alexnet_p_fc7_linear 0.759 0.158 0.261 151 199 958
alexnet_p_ww 0.578 0.305 0.399 292 505 958
alexnet_p_ww_fc6 0.640 0.320 0.427 307 480 958
alexnet_p_ww_fc7 0.602 0.293 0.394 281 467 958
alexnet_p_ww_fc6_linear 0.765 0.211 0.331 202 264 958
alexnet_p_ww_fc7_linear 0.633 0.256 0.364 245 387 958
alexnet_p_c 0.514 0.098 0.165 94 183 958
alexnet_p_c_fc6 0.450 0.104 0.169 100 222 958
alexnet_p_c_fc7 0.589 0.090 0.156 86 146 958
alexnet_p_c_fc6_linear 0.592 0.030 0.058 29 49 958
alexnet_p_c_fc7_linear 0.707 0.055 0.103 53 75 958
alexnet_p_c_ww 0.569 0.290 0.384 278 489 958
alexnet_p_c_ww_fc6 0.628 0.252 0.359 241 384 958
alexnet_p_c_ww_fc7 0.621 0.267 0.374 256 412 958
alexnet_p_c_ww_fc6_linear 0.720 0.123 0.210 118 164 958
alexnet_p_c_ww_fc7_linear 0.663 0.214 0.324 205 309 958
alexnet_p 0.658 0.200 0.307 192 292 958
alexnet_p_fc6 0.638 0.210 0.316 201 315 958
alexnet_p_fc7 0.677 0.204 0.313 195 288 958
alexnet_p_fc6_linear 0.715 0.149 0.247 143 200 958
alexnet_p_fc7_linear 0.759 0.158 0.261 151 199 958
alexnet_p_ww 0.578 0.305 0.399 292 505 958
alexnet_p_ww_fc6 0.640 0.320 0.427 307 480 958
alexnet_p_ww_fc7 0.602 0.293 0.394 281 467 958
alexnet_p_ww_fc6_linear 0.765 0.211 0.331 202 264 958
alexnet_p_ww_fc7_linear 0.633 0.256 0.364 245 387 958
alexnet_p_c 0.514 0.098 0.165 94 183 958
alexnet_p_c_fc6 0.450 0.104 0.169 100 222 958
alexnet_p_c_fc7 0.589 0.090 0.156 86 146 958
alexnet_p_c_fc6_linear 0.592 0.030 0.058 29 49 958
alexnet_p_c_fc7_linear 0.707 0.055 0.103 53 75 958
alexnet_p_c_ww 0.569 0.290 0.384 278 489 958
alexnet_p_c_ww_fc6 0.628 0.252 0.359 241 384 958
alexnet_p_c_ww_fc7 0.621 0.267 0.374 256 412 958
alexnet_p_c_ww_fc6_linear 0.720 0.123 0.210 118 164 958
alexnet_p_c_ww_fc7_linear 0.663 0.214 0.324 205 309 958
alexnet_p 0.658 0.200 0.307 192 292 958
alexnet_p_fc6 0.638 0.210 0.316 201 315 958
alexnet_p_fc7 0.677 0.204 0.313 195 288 958
alexnet_p_fc6_linear 0.715 0.149 0.247 143 200 958
alexnet_p_fc7_linear 0.759 0.158 0.261 151 199 958
alexnet_p_ww 0.578 0.305 0.399 292 505 958
alexnet_p_ww_fc6 0.640 0.320 0.427 307 480 958
alexnet_p_ww_fc7 0.602 0.293 0.394 281 467 958
alexnet_p_ww_fc6_linear 0.765 0.211 0.331 202 264 958
alexnet_p_ww_fc7_linear 0.633 0.256 0.364 245 387 958
alexnet_p_c 0.514 0.098 0.165 94 183 958
alexnet_p_c_fc6 0.450 0.104 0.169 100 222 958
alexnet_p_c_fc7 0.589 0.090 0.156 86 146 958
alexnet_p_c_fc6_linear 0.592 0.030 0.058 29 49 958
alexnet_p_c_fc7_linear 0.707 0.055 0.103 53 75 958
alexnet_p_c_ww 0.569 0.290 0.384 278 489 958
alexnet_p_c_ww_fc6 0.628 0.252 0.359 241 384 958
alexnet_p_c_ww_fc7 0.621 0.267 0.374 256 412 958
alexnet_p_c_ww_fc6_linear 0.720 0.123 0.210 118 164 958
alexnet_p_c_ww_fc7_linear 0.663 0.214 0.324 205 309 958
alexnet_p 0.658 0.200 0.307 192 292 958
alexnet_p_fc6 0.638 0.210 0.316 201 315 958
alexnet_p_fc7 0.677 0.204 0.313 195 288 958
alexnet_p_fc6_linear 0.715 0.149 0.247 143 200 958
alexnet_p_fc7_linear 0.759 0.158 0.261 151 199 958
alexnet_p_ww 0.578 0.305 0.399 292 505 958
alexnet_p_ww_fc6 0.640 0.320 0.427 307 480 958
alexnet_p_ww_fc7 0.602 0.293 0.394 281 467 958
alexnet_p_ww_fc6_linear 0.765 0.211 0.331 202 264 958
alexnet_p_ww_fc7_linear 0.633 0.256 0.364 245 387 958
alexnet_p_c 0.514 0.098 0.165 94 183 958
alexnet_p_c_fc6 0.450 0.104 0.169 100 222 958
alexnet_p_c_fc7 0.589 0.090 0.156 86 146 958
alexnet_p_c_fc6_linear 0.592 0.030 0.058 29 49 958
alexnet_p_c_fc7_linear 0.707 0.055 0.103 53 75 958
alexnet_p_c_ww 0.569 0.290 0.384 278 489 958
alexnet_p_c_ww_fc6 0.628 0.252 0.359 241 384 958
alexnet_p_c_ww_fc7 0.621 0.267 0.374 256 412 958
alexnet_p_c_ww_fc6_linear 0.720 0.123 0.210 118 164 958
alexnet_p_c_ww_fc7_linear 0.663 0.214 0.324 205 309 958
alexnet_p 0.658 0.200 0.307 192 292 958
alexnet_p_fc6 0.638 0.210 0.316 201 315 958
alexnet_p_fc7 0.677 0.204 0.313 195 288 958
alexnet_p_fc6_linear 0.601 0.211 0.312 202 336 958
alexnet_p_fc7_linear 0.679 0.212 0.323 203 299 958
alexnet_p_ww 0.578 0.305 0.399 292 505 958
alexnet_p_ww_fc6 0.640 0.320 0.427 307 480 958
alexnet_p_ww_fc7 0.602 0.293 0.394 281 467 958
alexnet_p_ww_fc6_linear 0.655 0.283 0.395 271 414 958
alexnet_p_ww_fc7_linear 0.628 0.282 0.389 270 430 958
alexnet_p_c 0.514 0.098 0.165 94 183 958
alexnet_p_c_fc6 0.450 0.104 0.169 100 222 958
alexnet_p_c_fc7 0.589 0.090 0.156 86 146 958
alexnet_p_c_fc6_linear 0.416 0.103 0.166 99 238 958
alexnet_p_c_fc7_linear 0.626 0.086 0.151 82 131 958
alexnet_p_c_ww 0.569 0.290 0.384 278 489 958
alexnet_p_c_ww_fc6 0.628 0.252 0.359 241 384 958
alexnet_p_c_ww_fc7 0.621 0.267 0.374 256 412 958
alexnet_p_c_ww_fc6_linear 0.589 0.242 0.343 232 394 958
alexnet_p_c_ww_fc7_linear 0.603 0.262 0.365 251 416 958
alexnet_p_fc6 0.642 0.221 0.329 212 330 958
alexnet_p_fc7 0.673 0.209 0.319 200 297 958
alexnet_p_fc6_linear 0.597 0.206 0.306 197 330 958
alexnet_p_fc7_linear 0.590 0.206 0.305 197 334 958
