Concept_Feature Precis. Recall F-Meas. #TP #Pos #Rel
alexnet_p 0.6575 0.2004 0.3072 192 292 958
alexnet_p_fc6 0.6381 0.2098 0.3158 201 315 958
alexnet_p_fc7 0.6771 0.2035 0.3130 195 288 958
alexnet_p_ww 0.5137 0.0981 0.1648 94 183 958
alexnet_p_ww_fc6 0.4505 0.1044 0.1695 100 222 958
alexnet_p_ww_fc7 0.5890 0.0898 0.1558 86 146 958
alexnet_p_c 0.5782 0.3048 0.3992 292 505 958
alexnet_p_c_fc6 0.6396 0.3205 0.4270 307 480 958
alexnet_p_c_fc7 0.6017 0.2933 0.3944 281 467 958
alexnet_p_c_ww 0.5685 0.2902 0.3842 278 489 958
alexnet_p_c_ww_fc6 0.6276 0.2516 0.3592 241 384 958
alexnet_p_c_ww_fc7 0.6214 0.2672 0.3737 256 412 958
alexnet_p 0.6575 0.2004 0.3072 192 292 958
alexnet_p_fc6 0.6381 0.2098 0.3158 201 315 958
alexnet_p_fc7 0.6771 0.2035 0.3130 195 288 958
alexnet_p_ww 0.5782 0.3048 0.3992 292 505 958
alexnet_p_ww_fc6 0.6396 0.3205 0.4270 307 480 958
alexnet_p_ww_fc7 0.6017 0.2933 0.3944 281 467 958
alexnet_p_c 0.5137 0.0981 0.1648 94 183 958
alexnet_p_c_fc6 0.4505 0.1044 0.1695 100 222 958
alexnet_p_c_fc7 0.5890 0.0898 0.1558 86 146 958
alexnet_p_c_ww 0.5685 0.2902 0.3842 278 489 958
alexnet_p_c_ww_fc6 0.6276 0.2516 0.3592 241 384 958
alexnet_p_c_ww_fc7 0.6214 0.2672 0.3737 256 412 958
alexnet_p 0.6575 0.2004 0.3072 192 292 958
alexnet_p_fc6 0.6381 0.2098 0.3158 201 315 958
alexnet_p_fc7 0.6771 0.2035 0.3130 195 288 958
alexnet_p_fc6_linear 0.7150 0.1493 0.2470 143 200 958
alexnet_p_fc7_linear 0.7588 0.1576 0.2610 151 199 958
alexnet_p_ww 0.5782 0.3048 0.3992 292 505 958
alexnet_p_ww_fc6 0.6396 0.3205 0.4270 307 480 958
alexnet_p_ww_fc7 0.6017 0.2933 0.3944 281 467 958
alexnet_p_ww_fc6_linear 0.7652 0.2109 0.3306 202 264 958
alexnet_p_ww_fc7_linear 0.6331 0.2557 0.3643 245 387 958
