Concept_Feature Precis. Recall F-Meas. #TP #Pos #Rel
alexnet_p_fc7 0.514 0.326 0.399 256 498 785
alexnet_p_fc6_linear 0.179 0.615 0.277 483 2701 785
alexnet_p_fc7_linear 0.542 0.326 0.407 256 472 785
alexnet_p_ww 0.697 0.243 0.361 191 274 785
alexnet_p_ww_fc6 0.693 0.176 0.280 138 199 785
alexnet_p_ww_fc7 0.691 0.228 0.343 179 259 785
alexnet_p_ww_fc6_linear 0.742 0.084 0.151 66 89 785
alexnet_p_ww_fc7_linear 0.647 0.306 0.415 240 371 785
alexnet_p_c 0.542 0.338 0.416 265 489 785
alexnet_p_c_fc6 0.528 0.391 0.449 307 581 785
alexnet_p_c_fc7 0.512 0.363 0.425 285 557 785
alexnet_p_c_fc6_linear 0.528 0.264 0.352 207 392 785
alexnet_p_c_fc7_linear 0.474 0.401 0.434 315 665 785
alexnet_p_c_ww 0.627 0.192 0.294 151 241 785
alexnet_p_c_ww_fc6 0.571 0.061 0.110 48 84 785
alexnet_p_c_ww_fc7 0.584 0.159 0.250 125 214 785
alexnet_p_c_ww_fc6_linear 0.711 0.041 0.077 32 45 785
alexnet_p_c_ww_fc7_linear 0.463 0.315 0.375 247 533 785
alexnet_p 0.530 0.344 0.417 270 509 785
alexnet_p_fc6 0.493 0.349 0.409 274 556 785
alexnet_p_fc7 0.514 0.326 0.399 256 498 785
alexnet_p_fc6_linear 0.179 0.615 0.277 483 2701 785
alexnet_p_fc7_linear 0.542 0.326 0.407 256 472 785
alexnet_p_ww 0.697 0.243 0.361 191 274 785
alexnet_p_ww_fc6 0.693 0.176 0.280 138 199 785
alexnet_p_ww_fc7 0.691 0.228 0.343 179 259 785
alexnet_p_ww_fc6_linear 0.742 0.084 0.151 66 89 785
alexnet_p_ww_fc7_linear 0.647 0.306 0.415 240 371 785
alexnet_p_c 0.542 0.338 0.416 265 489 785
alexnet_p_c_fc6 0.528 0.391 0.449 307 581 785
alexnet_p_c_fc7 0.512 0.363 0.425 285 557 785
alexnet_p_c_fc6_linear 0.528 0.264 0.352 207 392 785
alexnet_p_c_fc7_linear 0.474 0.401 0.434 315 665 785
alexnet_p_c_ww 0.627 0.192 0.294 151 241 785
alexnet_p_c_ww_fc6 0.571 0.061 0.110 48 84 785
alexnet_p_c_ww_fc7 0.584 0.159 0.250 125 214 785
alexnet_p_c_ww_fc6_linear 0.711 0.041 0.077 32 45 785
alexnet_p_c_ww_fc7_linear 0.463 0.315 0.375 247 533 785
alexnet_p 0.530 0.344 0.417 270 509 785
alexnet_p_fc6 0.493 0.349 0.409 274 556 785
alexnet_p_fc7 0.514 0.326 0.399 256 498 785
alexnet_p_fc6_linear 0.179 0.615 0.277 483 2701 785
alexnet_p_fc7_linear 0.542 0.326 0.407 256 472 785
alexnet_p_ww 0.697 0.243 0.361 191 274 785
alexnet_p_ww_fc6 0.693 0.176 0.280 138 199 785
alexnet_p_ww_fc7 0.691 0.228 0.343 179 259 785
alexnet_p_ww_fc6_linear 0.742 0.084 0.151 66 89 785
alexnet_p_ww_fc7_linear 0.647 0.306 0.415 240 371 785
alexnet_p_c 0.542 0.338 0.416 265 489 785
alexnet_p_c_fc6 0.528 0.391 0.449 307 581 785
alexnet_p_c_fc7 0.512 0.363 0.425 285 557 785
alexnet_p_c_fc6_linear 0.528 0.264 0.352 207 392 785
alexnet_p_c_fc7_linear 0.474 0.401 0.434 315 665 785
alexnet_p_c_ww 0.627 0.192 0.294 151 241 785
alexnet_p_c_ww_fc6 0.571 0.061 0.110 48 84 785
alexnet_p_c_ww_fc7 0.584 0.159 0.250 125 214 785
alexnet_p_c_ww_fc6_linear 0.711 0.041 0.077 32 45 785
alexnet_p_c_ww_fc7_linear 0.463 0.315 0.375 247 533 785
alexnet_p 0.530 0.344 0.417 270 509 785
alexnet_p_fc6 0.493 0.349 0.409 274 556 785
alexnet_p_fc7 0.514 0.326 0.399 256 498 785
alexnet_p_fc6_linear 0.179 0.615 0.277 483 2701 785
alexnet_p_fc7_linear 0.542 0.326 0.407 256 472 785
alexnet_p_ww 0.697 0.243 0.361 191 274 785
alexnet_p_ww_fc6 0.693 0.176 0.280 138 199 785
alexnet_p_ww_fc7 0.691 0.228 0.343 179 259 785
alexnet_p_ww_fc6_linear 0.742 0.084 0.151 66 89 785
alexnet_p_ww_fc7_linear 0.647 0.306 0.415 240 371 785
alexnet_p_c 0.542 0.338 0.416 265 489 785
alexnet_p_c_fc6 0.528 0.391 0.449 307 581 785
alexnet_p_c_fc7 0.512 0.363 0.425 285 557 785
alexnet_p_c_fc6_linear 0.528 0.264 0.352 207 392 785
alexnet_p_c_fc7_linear 0.474 0.401 0.434 315 665 785
alexnet_p_c_ww 0.627 0.192 0.294 151 241 785
alexnet_p_c_ww_fc6 0.571 0.061 0.110 48 84 785
alexnet_p_c_ww_fc7 0.584 0.159 0.250 125 214 785
alexnet_p_c_ww_fc6_linear 0.711 0.041 0.077 32 45 785
alexnet_p_c_ww_fc7_linear 0.463 0.315 0.375 247 533 785
alexnet_p 0.530 0.344 0.417 270 509 785
alexnet_p_fc6 0.493 0.349 0.409 274 556 785
alexnet_p_fc7 0.514 0.326 0.399 256 498 785
alexnet_p_fc6_linear 0.499 0.336 0.402 264 529 785
alexnet_p_fc7_linear 0.517 0.335 0.406 263 509 785
alexnet_p_ww 0.697 0.243 0.361 191 274 785
alexnet_p_ww_fc6 0.693 0.176 0.280 138 199 785
alexnet_p_ww_fc7 0.691 0.228 0.343 179 259 785
alexnet_p_ww_fc6_linear 0.687 0.204 0.314 160 233 785
alexnet_p_ww_fc7_linear 0.697 0.211 0.325 166 238 785
alexnet_p_c 0.542 0.338 0.416 265 489 785
alexnet_p_c_fc6 0.528 0.391 0.449 307 581 785
alexnet_p_c_fc7 0.512 0.363 0.425 285 557 785
alexnet_p_c_fc6_linear 0.523 0.349 0.419 274 524 785
alexnet_p_c_fc7_linear 0.493 0.358 0.415 281 570 785
alexnet_p_c_ww 0.627 0.192 0.294 151 241 785
alexnet_p_c_ww_fc6 0.571 0.061 0.110 48 84 785
alexnet_p_c_ww_fc7 0.584 0.159 0.250 125 214 785
alexnet_p_c_ww_fc6_linear 0.520 0.098 0.165 77 148 785
alexnet_p_c_ww_fc7_linear 0.559 0.152 0.238 119 213 785
alexnet_p_fc6 0.441 0.280 0.343 220 499 785
alexnet_p_fc7 0.455 0.294 0.357 231 508 785
alexnet_p_fc6_linear 0.471 0.236 0.314 185 393 785
alexnet_p_fc7_linear 0.442 0.239 0.311 188 425 785
