Concept_Feature Precis. Recall F-Meas. #TP #Pos #Rel
alexnet_p 0.5305 0.3439 0.4173 270 509 785
alexnet_p_fc6 0.4928 0.3490 0.4087 274 556 785
alexnet_p_fc7 0.5141 0.3261 0.3991 256 498 785
alexnet_p_ww 0.5419 0.3376 0.4160 265 489 785
alexnet_p_ww_fc6 0.5284 0.3911 0.4495 307 581 785
alexnet_p_ww_fc7 0.5117 0.3631 0.4247 285 557 785
alexnet_p_c 0.6971 0.2433 0.3607 191 274 785
alexnet_p_c_fc6 0.6935 0.1758 0.2805 138 199 785
alexnet_p_c_fc7 0.6911 0.2280 0.3429 179 259 785
alexnet_p_c_ww 0.6266 0.1924 0.2943 151 241 785
alexnet_p_c_ww_fc6 0.5714 0.0611 0.1105 48 84 785
alexnet_p_c_ww_fc7 0.5841 0.1592 0.2503 125 214 785
alexnet_p 0.5305 0.3439 0.4173 270 509 785
alexnet_p_fc6 0.4928 0.3490 0.4087 274 556 785
alexnet_p_fc7 0.5141 0.3261 0.3991 256 498 785
alexnet_p_ww 0.6971 0.2433 0.3607 191 274 785
alexnet_p_ww_fc6 0.6935 0.1758 0.2805 138 199 785
alexnet_p_ww_fc7 0.6911 0.2280 0.3429 179 259 785
alexnet_p_c 0.5419 0.3376 0.4160 265 489 785
alexnet_p_c_fc6 0.5284 0.3911 0.4495 307 581 785
alexnet_p_c_fc7 0.5117 0.3631 0.4247 285 557 785
alexnet_p_c_ww 0.6266 0.1924 0.2943 151 241 785
alexnet_p_c_ww_fc6 0.5714 0.0611 0.1105 48 84 785
alexnet_p_c_ww_fc7 0.5841 0.1592 0.2503 125 214 785
alexnet_p 0.5305 0.3439 0.4173 270 509 785
alexnet_p_fc6 0.4928 0.3490 0.4087 274 556 785
alexnet_p_fc7 0.5141 0.3261 0.3991 256 498 785
alexnet_p_fc6_linear 0.1788 0.6153 0.2771 483 2701 785
alexnet_p_fc7_linear 0.5424 0.3261 0.4073 256 472 785
alexnet_p_ww 0.6971 0.2433 0.3607 191 274 785
alexnet_p_ww_fc6 0.6935 0.1758 0.2805 138 199 785
alexnet_p_ww_fc7 0.6911 0.2280 0.3429 179 259 785
alexnet_p_ww_fc6_linear 0.7416 0.0841 0.1510 66 89 785
alexnet_p_ww_fc7_linear 0.6469 0.3057 0.4152 240 371 785
alexnet_p_c 0.5419 0.3376 0.4160 265 489 785
alexnet_p_c_fc6 0.5284 0.3911 0.4495 307 581 785
alexnet_p_c_fc7 0.5117 0.3631 0.4247 285 557 785
alexnet_p_c_fc6_linear 0.5281 0.2637 0.3517 207 392 785
alexnet_p_c_fc7_linear 0.4737 0.4013 0.4345 315 665 785
alexnet_p_c_ww 0.6266 0.1924 0.2943 151 241 785
alexnet_p_c_ww_fc6 0.5714 0.0611 0.1105 48 84 785
alexnet_p_c_ww_fc7 0.5841 0.1592 0.2503 125 214 785
alexnet_p_c_ww_fc6_linear 0.7111 0.0408 0.0771 32 45 785
alexnet_p_c_ww_fc7_linear 0.4634 0.3146 0.3748 247 533 785
alexnet_p 0.5305 0.344 0.4173 270 509 785
alexnet_p_fc6 0.4928 0.349 0.4087 274 556 785
alexnet_p_fc7 0.5141 0.326 0.3991 256 498 785
alexnet_p_fc6_linear 0.1788 0.615 0.2771 483 2701 785
alexnet_p_fc7_linear 0.5424 0.326 0.4073 256 472 785
alexnet_p_ww 0.6971 0.243 0.3607 191 274 785
alexnet_p_ww_fc6 0.6935 0.176 0.2805 138 199 785
alexnet_p_ww_fc7 0.6911 0.228 0.3429 179 259 785
alexnet_p_ww_fc6_linear 0.7416 0.084 0.1510 66 89 785
alexnet_p_ww_fc7_linear 0.6469 0.306 0.4152 240 371 785
alexnet_p_c 0.5419 0.338 0.4160 265 489 785
alexnet_p_c_fc6 0.5284 0.391 0.4495 307 581 785
alexnet_p_c_fc7 0.5117 0.363 0.4247 285 557 785
alexnet_p_c_fc6_linear 0.5281 0.264 0.3517 207 392 785
alexnet_p_c_fc7_linear 0.4737 0.401 0.4345 315 665 785
alexnet_p_c_ww 0.6266 0.192 0.2943 151 241 785
alexnet_p_c_ww_fc6 0.5714 0.061 0.1105 48 84 785
alexnet_p_c_ww_fc7 0.5841 0.159 0.2503 125 214 785
alexnet_p_c_ww_fc6_linear 0.7111 0.041 0.0771 32 45 785
alexnet_p_c_ww_fc7_linear 0.4634 0.315 0.3748 247 533 785
alexnet_p 0.530 0.344 0.417 270 509 785
alexnet_p_fc6 0.493 0.349 0.409 274 556 785
