Concept_Feature Precis. Recall F-Meas. #TP #Pos #Rel
alexnet_p 0.4362 0.4373 0.4367 345 791 789
alexnet_p_fc6 0.4424 0.4816 0.4612 380 859 789
alexnet_p_fc7 0.4274 0.4588 0.4425 362 847 789
alexnet_p_ww 0.3901 0.2700 0.3191 213 546 789
alexnet_p_ww_fc6 0.3925 0.2801 0.3269 221 563 789
alexnet_p_ww_fc7 0.3960 0.2750 0.3246 217 548 789
alexnet_p_c 0.5517 0.3447 0.4243 272 493 789
alexnet_p_c_fc6 0.7685 0.2902 0.4213 229 298 789
alexnet_p_c_fc7 0.5788 0.3536 0.4390 279 482 789
alexnet_p_c_ww 0.5879 0.2839 0.3829 224 381 789
alexnet_p_c_ww_fc6 0.7918 0.2700 0.4026 213 269 789
alexnet_p_c_ww_fc7 0.6735 0.2928 0.4081 231 343 789
alexnet_p 0.4362 0.4373 0.4367 345 791 789
alexnet_p_fc6 0.4424 0.4816 0.4612 380 859 789
alexnet_p_fc7 0.4274 0.4588 0.4425 362 847 789
alexnet_p_ww 0.5517 0.3447 0.4243 272 493 789
alexnet_p_ww_fc6 0.7685 0.2902 0.4213 229 298 789
alexnet_p_ww_fc7 0.5788 0.3536 0.4390 279 482 789
alexnet_p_c 0.3901 0.2700 0.3191 213 546 789
alexnet_p_c_fc6 0.3925 0.2801 0.3269 221 563 789
alexnet_p_c_fc7 0.3960 0.2750 0.3246 217 548 789
alexnet_p_c_ww 0.5879 0.2839 0.3829 224 381 789
alexnet_p_c_ww_fc6 0.7918 0.2700 0.4026 213 269 789
alexnet_p_c_ww_fc7 0.6735 0.2928 0.4081 231 343 789
alexnet_p 0.4362 0.4373 0.4367 345 791 789
alexnet_p_fc6 0.4424 0.4816 0.4612 380 859 789
alexnet_p_fc7 0.4274 0.4588 0.4425 362 847 789
alexnet_p_fc6_linear 0.3985 0.5323 0.4558 420 1054 789
alexnet_p_fc7_linear 0.3718 0.4208 0.3948 332 893 789
alexnet_p_ww 0.5517 0.3447 0.4243 272 493 789
alexnet_p_ww_fc6 0.7685 0.2902 0.4213 229 298 789
alexnet_p_ww_fc7 0.5788 0.3536 0.4390 279 482 789
alexnet_p_ww_fc6_linear 0.6456 0.3232 0.4307 255 395 789
alexnet_p_ww_fc7_linear 0.4033 0.3435 0.3710 271 672 789
alexnet_p_c 0.3901 0.2700 0.3191 213 546 789
alexnet_p_c_fc6 0.3925 0.2801 0.3269 221 563 789
alexnet_p_c_fc7 0.3960 0.2750 0.3246 217 548 789
alexnet_p_c_fc6_linear 0.2544 0.3143 0.2812 248 975 789
alexnet_p_c_fc7_linear 0.4341 0.2712 0.3339 214 493 789
alexnet_p_c_ww 0.5879 0.2839 0.3829 224 381 789
alexnet_p_c_ww_fc6 0.7918 0.2700 0.4026 213 269 789
alexnet_p_c_ww_fc7 0.6735 0.2928 0.4081 231 343 789
alexnet_p_c_ww_fc6_linear 0.6867 0.2028 0.3131 160 233 789
alexnet_p_c_ww_fc7_linear 0.4513 0.2700 0.3378 213 472 789
alexnet_p 0.4362 0.437 0.4367 345 791 789
alexnet_p_fc6 0.4424 0.482 0.4612 380 859 789
alexnet_p_fc7 0.4274 0.459 0.4425 362 847 789
alexnet_p_fc6_linear 0.3985 0.532 0.4558 420 1054 789
alexnet_p_fc7_linear 0.3718 0.421 0.3948 332 893 789
alexnet_p_ww 0.5517 0.345 0.4243 272 493 789
alexnet_p_ww_fc6 0.7685 0.290 0.4213 229 298 789
alexnet_p_ww_fc7 0.5788 0.354 0.4390 279 482 789
alexnet_p_ww_fc6_linear 0.6456 0.323 0.4307 255 395 789
alexnet_p_ww_fc7_linear 0.4033 0.343 0.3710 271 672 789
alexnet_p_c 0.3901 0.270 0.3191 213 546 789
alexnet_p_c_fc6 0.3925 0.280 0.3269 221 563 789
alexnet_p_c_fc7 0.3960 0.275 0.3246 217 548 789
alexnet_p_c_fc6_linear 0.2544 0.314 0.2812 248 975 789
alexnet_p_c_fc7_linear 0.4341 0.271 0.3339 214 493 789
alexnet_p_c_ww 0.5879 0.284 0.3829 224 381 789
alexnet_p_c_ww_fc6 0.7918 0.270 0.4026 213 269 789
alexnet_p_c_ww_fc7 0.6735 0.293 0.4081 231 343 789
alexnet_p_c_ww_fc6_linear 0.6867 0.203 0.3131 160 233 789
alexnet_p_c_ww_fc7_linear 0.4513 0.270 0.3378 213 472 789
alexnet_p 0.436 0.437 0.437 345 791 789
alexnet_p_fc6 0.442 0.482 0.461 380 859 789
alexnet_p_fc7 0.427 0.459 0.443 362 847 789
