Concept_Feature Precis. Recall F-Meas. #TP #Pos #Rel
alexnet_p_c_fc7_linear 0.680 0.269 0.385 308 453 1146
alexnet_p_c_ww 0.602 0.298 0.398 341 566 1146
alexnet_p_c_ww_fc6 0.620 0.330 0.431 378 610 1146
alexnet_p_c_ww_fc7 0.625 0.302 0.407 346 554 1146
alexnet_p_c_ww_fc6_linear 0.648 0.300 0.410 344 531 1146
alexnet_p_c_ww_fc7_linear 0.615 0.295 0.399 338 550 1146
alexnet_p 0.600 0.372 0.459 426 710 1146
alexnet_p_fc6 0.653 0.339 0.447 389 596 1146
alexnet_p_fc7 0.651 0.329 0.437 377 579 1146
alexnet_p_fc6_linear 0.831 0.112 0.197 128 154 1146
alexnet_p_fc7_linear 0.643 0.312 0.420 357 555 1146
alexnet_p_ww 0.581 0.329 0.420 377 649 1146
alexnet_p_ww_fc6 0.547 0.367 0.439 421 770 1146
alexnet_p_ww_fc7 0.600 0.318 0.415 364 607 1146
alexnet_p_ww_fc6_linear 0.469 0.418 0.442 479 1021 1146
alexnet_p_ww_fc7_linear 0.568 0.308 0.399 353 622 1146
alexnet_p_c 0.686 0.251 0.368 288 420 1146
alexnet_p_c_fc6 0.780 0.195 0.311 223 286 1146
alexnet_p_c_fc7 0.721 0.226 0.344 259 359 1146
alexnet_p_c_fc6_linear 0.830 0.111 0.196 127 153 1146
alexnet_p_c_fc7_linear 0.680 0.269 0.385 308 453 1146
alexnet_p_c_ww 0.602 0.298 0.398 341 566 1146
alexnet_p_c_ww_fc6 0.620 0.330 0.431 378 610 1146
alexnet_p_c_ww_fc7 0.625 0.302 0.407 346 554 1146
alexnet_p_c_ww_fc6_linear 0.648 0.300 0.410 344 531 1146
alexnet_p_c_ww_fc7_linear 0.615 0.295 0.399 338 550 1146
alexnet_p 0.600 0.372 0.459 426 710 1146
alexnet_p_fc6 0.653 0.339 0.447 389 596 1146
alexnet_p_fc7 0.651 0.329 0.437 377 579 1146
alexnet_p_fc6_linear 0.831 0.112 0.197 128 154 1146
alexnet_p_fc7_linear 0.643 0.312 0.420 357 555 1146
alexnet_p_ww 0.581 0.329 0.420 377 649 1146
alexnet_p_ww_fc6 0.547 0.367 0.439 421 770 1146
alexnet_p_ww_fc7 0.600 0.318 0.415 364 607 1146
alexnet_p_ww_fc6_linear 0.469 0.418 0.442 479 1021 1146
alexnet_p_ww_fc7_linear 0.568 0.308 0.399 353 622 1146
alexnet_p_c 0.686 0.251 0.368 288 420 1146
alexnet_p_c_fc6 0.780 0.195 0.311 223 286 1146
alexnet_p_c_fc7 0.721 0.226 0.344 259 359 1146
alexnet_p_c_fc6_linear 0.830 0.111 0.196 127 153 1146
alexnet_p_c_fc7_linear 0.680 0.269 0.385 308 453 1146
alexnet_p_c_ww 0.602 0.298 0.398 341 566 1146
alexnet_p_c_ww_fc6 0.620 0.330 0.431 378 610 1146
alexnet_p_c_ww_fc7 0.625 0.302 0.407 346 554 1146
alexnet_p_c_ww_fc6_linear 0.648 0.300 0.410 344 531 1146
alexnet_p_c_ww_fc7_linear 0.615 0.295 0.399 338 550 1146
