Concept_Feature Precis. Recall F-Meas. #TP #Pos #Rel
alexnet_p 0.6000 0.3717 0.4591 426 710 1146
alexnet_p_fc6 0.6527 0.3394 0.4466 389 596 1146
alexnet_p_fc7 0.6511 0.3290 0.4371 377 579 1146
alexnet_p_ww 0.6857 0.2513 0.3678 288 420 1146
alexnet_p_ww_fc6 0.7797 0.1946 0.3115 223 286 1146
alexnet_p_ww_fc7 0.7214 0.2260 0.3442 259 359 1146
alexnet_p_c 0.5809 0.3290 0.4201 377 649 1146
alexnet_p_c_fc6 0.5468 0.3674 0.4395 421 770 1146
alexnet_p_c_fc7 0.5997 0.3176 0.4153 364 607 1146
alexnet_p_c_ww 0.6025 0.2976 0.3984 341 566 1146
alexnet_p_c_ww_fc6 0.6197 0.3298 0.4305 378 610 1146
alexnet_p_c_ww_fc7 0.6245 0.3019 0.4071 346 554 1146
alexnet_p 0.6000 0.3717 0.4591 426 710 1146
alexnet_p_fc6 0.6527 0.3394 0.4466 389 596 1146
alexnet_p_fc7 0.6511 0.3290 0.4371 377 579 1146
alexnet_p_ww 0.5809 0.3290 0.4201 377 649 1146
alexnet_p_ww_fc6 0.5468 0.3674 0.4395 421 770 1146
alexnet_p_ww_fc7 0.5997 0.3176 0.4153 364 607 1146
alexnet_p_c 0.6857 0.2513 0.3678 288 420 1146
alexnet_p_c_fc6 0.7797 0.1946 0.3115 223 286 1146
alexnet_p_c_fc7 0.7214 0.2260 0.3442 259 359 1146
alexnet_p_c_ww 0.6025 0.2976 0.3984 341 566 1146
alexnet_p_c_ww_fc6 0.6197 0.3298 0.4305 378 610 1146
alexnet_p_c_ww_fc7 0.6245 0.3019 0.4071 346 554 1146
alexnet_p 0.6000 0.3717 0.4591 426 710 1146
alexnet_p_fc6 0.6527 0.3394 0.4466 389 596 1146
alexnet_p_fc7 0.6511 0.3290 0.4371 377 579 1146
alexnet_p_fc6_linear 0.8312 0.1117 0.1969 128 154 1146
alexnet_p_fc7_linear 0.6432 0.3115 0.4198 357 555 1146
alexnet_p_ww 0.5809 0.3290 0.4201 377 649 1146
alexnet_p_ww_fc6 0.5468 0.3674 0.4395 421 770 1146
alexnet_p_ww_fc7 0.5997 0.3176 0.4153 364 607 1146
alexnet_p_ww_fc6_linear 0.4691 0.4180 0.4421 479 1021 1146
alexnet_p_ww_fc7_linear 0.5675 0.3080 0.3993 353 622 1146
alexnet_p_c 0.6857 0.2513 0.3678 288 420 1146
alexnet_p_c_fc6 0.7797 0.1946 0.3115 223 286 1146
alexnet_p_c_fc7 0.7214 0.2260 0.3442 259 359 1146
alexnet_p_c_fc6_linear 0.8301 0.1108 0.1955 127 153 1146
alexnet_p_c_fc7_linear 0.6799 0.2688 0.3852 308 453 1146
alexnet_p_c_ww 0.6025 0.2976 0.3984 341 566 1146
alexnet_p_c_ww_fc6 0.6197 0.3298 0.4305 378 610 1146
alexnet_p_c_ww_fc7 0.6245 0.3019 0.4071 346 554 1146
alexnet_p_c_ww_fc6_linear 0.6478 0.3002 0.4103 344 531 1146
alexnet_p_c_ww_fc7_linear 0.6145 0.2949 0.3986 338 550 1146
alexnet_p 0.6000 0.372 0.4591 426 710 1146
alexnet_p_fc6 0.6527 0.339 0.4466 389 596 1146
alexnet_p_fc7 0.6511 0.329 0.4371 377 579 1146
alexnet_p_fc6_linear 0.8312 0.112 0.1969 128 154 1146
alexnet_p_fc7_linear 0.6432 0.312 0.4198 357 555 1146
alexnet_p_ww 0.5809 0.329 0.4201 377 649 1146
alexnet_p_ww_fc6 0.5468 0.367 0.4395 421 770 1146
alexnet_p_ww_fc7 0.5997 0.318 0.4153 364 607 1146
alexnet_p_ww_fc6_linear 0.4691 0.418 0.4421 479 1021 1146
alexnet_p_ww_fc7_linear 0.5675 0.308 0.3993 353 622 1146
alexnet_p_c 0.6857 0.251 0.3678 288 420 1146
alexnet_p_c_fc6 0.7797 0.195 0.3115 223 286 1146
alexnet_p_c_fc7 0.7214 0.226 0.3442 259 359 1146
alexnet_p_c_fc6_linear 0.8301 0.111 0.1955 127 153 1146
alexnet_p_c_fc7_linear 0.6799 0.269 0.3852 308 453 1146
alexnet_p_c_ww 0.6025 0.298 0.3984 341 566 1146
alexnet_p_c_ww_fc6 0.6197 0.330 0.4305 378 610 1146
alexnet_p_c_ww_fc7 0.6245 0.302 0.4071 346 554 1146
alexnet_p_c_ww_fc6_linear 0.6478 0.300 0.4103 344 531 1146
alexnet_p_c_ww_fc7_linear 0.6145 0.295 0.3986 338 550 1146
alexnet_p 0.600 0.372 0.459 426 710 1146
alexnet_p_fc6 0.653 0.339 0.447 389 596 1146
alexnet_p_fc7 0.651 0.329 0.437 377 579 1146
alexnet_p_fc6_linear 0.831 0.112 0.197 128 154 1146
alexnet_p_fc7_linear 0.643 0.312 0.420 357 555 1146
alexnet_p_ww 0.581 0.329 0.420 377 649 1146
alexnet_p_ww_fc6 0.547 0.367 0.439 421 770 1146
alexnet_p_ww_fc7 0.600 0.318 0.415 364 607 1146
alexnet_p_ww_fc6_linear 0.469 0.418 0.442 479 1021 1146
alexnet_p_ww_fc7_linear 0.568 0.308 0.399 353 622 1146
alexnet_p_c 0.686 0.251 0.368 288 420 1146
alexnet_p_c_fc6 0.780 0.195 0.311 223 286 1146
alexnet_p_c_fc7 0.721 0.226 0.344 259 359 1146
alexnet_p_c_fc6_linear 0.830 0.111 0.196 127 153 1146
alexnet_p_c_fc7_linear 0.680 0.269 0.385 308 453 1146
alexnet_p_c_ww 0.602 0.298 0.398 341 566 1146
alexnet_p_c_ww_fc6 0.620 0.330 0.431 378 610 1146
alexnet_p_c_ww_fc7 0.625 0.302 0.407 346 554 1146
alexnet_p_c_ww_fc6_linear 0.648 0.300 0.410 344 531 1146
alexnet_p_c_ww_fc7_linear 0.615 0.295 0.399 338 550 1146
alexnet_p 0.600 0.372 0.459 426 710 1146
alexnet_p_fc6 0.653 0.339 0.447 389 596 1146
alexnet_p_fc7 0.651 0.329 0.437 377 579 1146
alexnet_p_fc6_linear 0.831 0.112 0.197 128 154 1146
alexnet_p_fc7_linear 0.643 0.312 0.420 357 555 1146
alexnet_p_ww 0.581 0.329 0.420 377 649 1146
alexnet_p_ww_fc6 0.547 0.367 0.439 421 770 1146
alexnet_p_ww_fc7 0.600 0.318 0.415 364 607 1146
alexnet_p_ww_fc6_linear 0.469 0.418 0.442 479 1021 1146
alexnet_p_ww_fc7_linear 0.568 0.308 0.399 353 622 1146
alexnet_p_c 0.686 0.251 0.368 288 420 1146
alexnet_p_c_fc6 0.780 0.195 0.311 223 286 1146
alexnet_p_c_fc7 0.721 0.226 0.344 259 359 1146
alexnet_p_c_fc6_linear 0.830 0.111 0.196 127 153 1146
