Concept_Feature Precis. Recall F-Meas. #TP #Pos #Rel
alexnet_p_c_fc6 0.557 0.037 0.069 34 61 922
alexnet_p_c_fc7 0.544 0.047 0.086 43 79 922
alexnet_p_c_fc6_linear 0.818 0.010 0.019 9 11 922
alexnet_p_c_fc7_linear 0.578 0.040 0.075 37 64 922
alexnet_p_c_ww 0.339 0.086 0.137 79 233 922
alexnet_p_c_ww_fc6 0.430 0.043 0.079 40 93 922
alexnet_p_c_ww_fc7 0.352 0.069 0.116 64 182 922
alexnet_p_c_ww_fc6_linear 0.386 0.035 0.064 32 83 922
alexnet_p_c_ww_fc7_linear 0.307 0.097 0.147 89 290 922
alexnet_p 0.586 0.100 0.171 92 157 922
alexnet_p_fc6 0.688 0.081 0.145 75 109 922
alexnet_p_fc7 0.654 0.090 0.158 83 127 922
alexnet_p_fc6_linear 1.000 0.021 0.040 19 19 922
alexnet_p_fc7_linear 0.720 0.073 0.132 67 93 922
alexnet_p_ww 0.423 0.111 0.175 102 241 922
alexnet_p_ww_fc6 0.407 0.060 0.104 55 135 922
alexnet_p_ww_fc7 0.484 0.114 0.184 105 217 922
alexnet_p_ww_fc6_linear 0.450 0.029 0.055 27 60 922
alexnet_p_ww_fc7_linear 0.368 0.119 0.180 110 299 922
alexnet_p_c 0.441 0.053 0.095 49 111 922
alexnet_p_c_fc6 0.557 0.037 0.069 34 61 922
alexnet_p_c_fc7 0.544 0.047 0.086 43 79 922
alexnet_p_c_fc6_linear 0.818 0.010 0.019 9 11 922
alexnet_p_c_fc7_linear 0.578 0.040 0.075 37 64 922
alexnet_p_c_ww 0.339 0.086 0.137 79 233 922
alexnet_p_c_ww_fc6 0.430 0.043 0.079 40 93 922
alexnet_p_c_ww_fc7 0.352 0.069 0.116 64 182 922
alexnet_p_c_ww_fc6_linear 0.386 0.035 0.064 32 83 922
alexnet_p_c_ww_fc7_linear 0.307 0.097 0.147 89 290 922
alexnet_p 0.586 0.100 0.171 92 157 922
alexnet_p_fc6 0.688 0.081 0.145 75 109 922
alexnet_p_fc7 0.654 0.090 0.158 83 127 922
alexnet_p_fc6_linear 1.000 0.021 0.040 19 19 922
alexnet_p_fc7_linear 0.720 0.073 0.132 67 93 922
alexnet_p_ww 0.423 0.111 0.175 102 241 922
alexnet_p_ww_fc6 0.407 0.060 0.104 55 135 922
alexnet_p_ww_fc7 0.484 0.114 0.184 105 217 922
alexnet_p_ww_fc6_linear 0.450 0.029 0.055 27 60 922
alexnet_p_ww_fc7_linear 0.368 0.119 0.180 110 299 922
alexnet_p_c 0.441 0.053 0.095 49 111 922
alexnet_p_c_fc6 0.557 0.037 0.069 34 61 922
alexnet_p_c_fc7 0.544 0.047 0.086 43 79 922
alexnet_p_c_fc6_linear 0.818 0.010 0.019 9 11 922
alexnet_p_c_fc7_linear 0.578 0.040 0.075 37 64 922
alexnet_p_c_ww 0.339 0.086 0.137 79 233 922
alexnet_p_c_ww_fc6 0.430 0.043 0.079 40 93 922
alexnet_p_c_ww_fc7 0.352 0.069 0.116 64 182 922
alexnet_p_c_ww_fc6_linear 0.386 0.035 0.064 32 83 922
alexnet_p_c_ww_fc7_linear 0.307 0.097 0.147 89 290 922
